Fighter_Name,Height,Weight,Reach,Stance,DOB,Wins,Losses,Draws,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,Fighter_URL,Image_URL,Recent_Form
Tom Aaron,,155 lbs.,,,1978-07-13,5,3,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/93fe7332d16c6ad9,,WWWWW
Danny Abbadi,"5' 11""",155 lbs.,,Orthodox,1983-07-03,4,6,0,3.29,38%,4.41,57%,0.0,0%,77%,0.0,http://ufcstats.com/fighter-details/15df64c02b6b0fde,,WWWWW
Nariman Abbasov,"5' 8""",155 lbs.,"66.0""",Orthodox,1994-02-01,28,4,0,3.0,20%,5.67,46%,0.0,0%,66%,0.0,http://ufcstats.com/fighter-details/59a9d6dac61c2540,,WWWWW
Darion Abbey,"6' 2""",265 lbs.,"80.0""",Orthodox,1993-02-25,9,5,0,8.44,50%,14.06,28%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/4961467134abd8be,,WWWWW
David Abbott,"6' 0""",265 lbs.,,Switch,1965-04-26,10,15,0,1.35,30%,3.55,38%,1.07,33%,66%,0.0,http://ufcstats.com/fighter-details/b361180739bed4b0,,WWWWW
Hamdy Abdelwahab,"6' 2""",265 lbs.,"72.0""",Southpaw,1993-01-22,7,1,0,4.27,55%,3.67,51%,3.25,65%,100%,0.0,http://ufcstats.com/fighter-details/3329d692aea4dc28,,WWWWW
Mansur Abdul-Malik,"6' 2""",185 lbs.,"80.0""",Orthodox,1997-10-07,9,0,1,4.18,48%,3.46,51%,0.94,50%,83%,0.5,http://ufcstats.com/fighter-details/841695e02c99a521,,WWWWW
Shamil Abdurakhimov,"6' 3""",235 lbs.,"76.0""",Orthodox,1981-09-02,20,8,0,2.41,44%,3.02,55%,1.01,23%,45%,0.1,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,,WWWWW
Hiroyuki Abe,"5' 6""",145 lbs.,,Orthodox,1970-02-09,8,15,3,1.71,36%,3.11,63%,0.0,0%,33%,0.0,http://ufcstats.com/fighter-details/c0ed7b208197e8de,,WWWWW
Daichi Abe,"5' 11""",170 lbs.,"71.0""",Orthodox,1991-11-27,6,2,0,3.8,33%,4.49,56%,0.33,50%,0%,0.0,http://ufcstats.com/fighter-details/5140122c3eecd307,,WWWWW
Papy Abedi,"5' 11""",185 lbs.,,Southpaw,1978-06-30,10,4,0,2.8,55%,3.15,48%,3.47,57%,50%,1.3,http://ufcstats.com/fighter-details/c9f6385af6df66d7,,WWWWW
Ricardo Abreu,"5' 11""",185 lbs.,,Orthodox,1984-04-27,5,1,0,3.79,31%,3.98,68%,2.13,42%,100%,0.7,http://ufcstats.com/fighter-details/aa6e591c2a2cdecd,,WWWWW
Klidson Abreu,"6' 0""",205 lbs.,"74.0""",Orthodox,1992-12-24,15,4,0,2.05,40%,2.9,55%,0.64,20%,80%,0.0,http://ufcstats.com/fighter-details/7279654c7674cd24,,WWWWW
Cyborg Abreu,,,,,1980-12-20,0,0,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/f689bd7bbd14b392,,WWWWW
Daniel Acacio,"5' 8""",180 lbs.,,Orthodox,1977-12-27,30,18,0,3.52,36%,2.85,62%,0.33,20%,81%,0.0,http://ufcstats.com/fighter-details/1c5879330d42255f,,WWWWW
John Adajar,"5' 9""",170 lbs.,"75.0""",Orthodox,1991-06-22,6,2,0,3.9,52%,6.28,44%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/989b85f6540c86b1,,WWWWW
Scott Adams,"6' 0""",225 lbs.,,Southpaw,,8,1,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/2620f3eb21c79614,,WWWWW
Juan Adams,"6' 5""",265 lbs.,"80.0""",Orthodox,1992-01-16,5,3,0,7.09,55%,4.06,34%,0.91,66%,57%,0.0,http://ufcstats.com/fighter-details/83b00f7597e5ac83,,WWWWW
Anthony Adams,"6' 1""",185 lbs.,"76.0""",Orthodox,1988-01-13,8,2,0,3.17,41%,5.93,44%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/a77633a989013265,,WWWWW
Zarrukh Adashev,"5' 5""",125 lbs.,"65.0""",Southpaw,1992-07-29,4,4,0,3.65,40%,3.04,64%,0.0,0%,100%,0.5,http://ufcstats.com/fighter-details/79cb2a690b9ba5e8,,WWWWW
Israel Adesanya,"6' 4""",185 lbs.,"80.0""",Switch,1989-07-22,24,5,0,4.02,48%,3.2,55%,0.05,11%,76%,0.1,http://ufcstats.com/fighter-details/1338e2c7480bdf9e,,WWWWW
Sam Adkins,"6' 3""",225 lbs.,,Orthodox,1965-04-26,7,20,2,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/0e9869d712e81f8f,,WWWWW
Mohamed Ado,"5' 11""",170 lbs.,"76.0""",Switch,2000-05-03,5,1,0,1.66,83%,0.33,75%,4.97,50%,50%,5.0,http://ufcstats.com/fighter-details/7a846fcbf182a7c8,,WWWWW
Nick Agallar,"5' 8""",155 lbs.,,Orthodox,1979-01-13,24,6,0,0.69,11%,4.56,42%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/ebc5af72ad5a28cb,,WWWWW
Mariya Agapova,"5' 6""",125 lbs.,"68.0""",Southpaw,1997-04-07,10,5,0,4.43,54%,3.62,52%,0.55,66%,45%,0.8,http://ufcstats.com/fighter-details/a08ddd04eaffd81d,,WWWWW
Kantharaj Agasa,,135 lbs.,,,1992-02-16,12,3,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/26f4288e83188c61,,WWWWW
Marcelo Aguiar,"5' 10""",170 lbs.,,Orthodox,1969-01-20,2,3,1,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/44aa652b181bcf68,,WWWWW
Fabio Aguiar,"6' 0""",185 lbs.,,,1988-02-10,17,1,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/501821d7fb7b95c1,,WWWWW
Edwin Aguilar,"5' 10""",185 lbs.,,,1972-01-01,26,19,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/6cadc0a0ba7dc015,,WWWWW
Jessica Aguilar,"5' 3""",115 lbs.,"63.0""",Orthodox,1982-05-08,20,8,0,4.93,50%,7.19,53%,0.94,25%,50%,0.2,http://ufcstats.com/fighter-details/8f382b3baa954d2a,,WWWWW
Kevin Aguilar,"5' 7""",155 lbs.,"73.0""",Orthodox,1988-09-07,17,5,0,3.96,40%,4.81,52%,0.16,16%,78%,0.0,http://ufcstats.com/fighter-details/cf946e03ba2e7666,,WWWWW
Jesus Aguilar,"5' 4""",125 lbs.,"62.0""",Orthodox,1996-03-13,12,4,0,2.54,38%,2.29,61%,1.52,29%,45%,1.1,http://ufcstats.com/fighter-details/c051c2e12d692b8a,,WWWWW
Christian Aguilera,"5' 9""",170 lbs.,"72.0""",Switch,1991-11-25,14,8,0,2.54,37%,4.04,48%,0.0,0%,60%,0.0,http://ufcstats.com/fighter-details/ae071698e1a3ccd4,,WWWWW
Nick Aguirre,"5' 9""",135 lbs.,"74.0""",Southpaw,1996-01-15,7,2,0,0.73,33%,2.89,45%,1.16,20%,33%,0.6,http://ufcstats.com/fighter-details/0978385b2bd9ef9b,,WWWWW
Agulali,"5' 9""",125 lbs.,"67.0""",Switch,2005-04-07,13,2,0,2.74,60%,2.19,59%,0.0,0%,100%,0.0,http://ufcstats.com/fighter-details/b2efa582adf73604,,WWWWW
Ahejiang Ailinuer,,145 lbs.,,,,15,3,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/ff584c17bccbae0b,,WWWWW
Mike Aina,"5' 9""",155 lbs.,,Orthodox,1980-12-25,14,6,1,2.87,33%,6.33,59%,0.0,0%,71%,0.0,http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a,,WWWWW
Ashiek Ajim,"5' 8""",135 lbs.,"71.0""",Switch,1994-06-19,6,2,0,5.0,40%,11.25,25%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/49dea784f6cfed71,,WWWWW
Hitomi Akano,"5' 4""",135 lbs.,,Southpaw,1974-07-27,18,10,0,0.59,45%,2.58,55%,0.0,0%,8%,0.5,http://ufcstats.com/fighter-details/2eada40ac8801559,,WWWWW
Omari Akhmedov,"6' 0""",185 lbs.,"73.0""",Orthodox,1987-10-12,21,6,1,2.97,34%,2.84,55%,2.58,45%,65%,0.2,http://ufcstats.com/fighter-details/16690d100f995f8f,,WWWWW
Yoshihiro Akiyama,"5' 10""",170 lbs.,"75.0""",Orthodox,1975-07-29,14,6,0,3.1,41%,3.62,57%,2.29,67%,92%,1.0,http://ufcstats.com/fighter-details/b0550072e5f0afa7,,WWWWW
Rostem Akman,"5' 10""",170 lbs.,"72.0""",Switch,1991-12-19,6,2,0,1.8,25%,3.97,57%,1.0,40%,87%,0.0,http://ufcstats.com/fighter-details/1fc64507a0cb38cf,,WWWWW
Razak Al-Hassan,"6' 2""",205 lbs.,,Orthodox,1982-05-14,13,5,0,3.27,39%,3.14,60%,0.65,14%,57%,0.0,http://ufcstats.com/fighter-details/38b50fd1e1b5b656,,WWWWW
Abdul-Kareem Al-Selwady,"5' 8""",155 lbs.,"69.0""",Orthodox,1995-04-10,15,4,0,4.14,34%,3.6,59%,2.32,30%,20%,0.0,http://ufcstats.com/fighter-details/597499ac7a5aac62,,WWWWW
Mostapha Al-Turk,"6' 2""",245 lbs.,"77.0""",Orthodox,1973-07-14,6,6,0,1.36,19%,3.61,53%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/1cf1310684a841f5,,WWWWW
Herdem Alacabek,"6' 2""",205 lbs.,"75.0""",Orthodox,1991-06-07,5,1,0,3.84,65%,6.66,23%,2.06,50%,42%,0.0,http://ufcstats.com/fighter-details/7578cc6bd750206b,,WWWWW
Javi Alanis,"5' 6""",135 lbs.,,,,0,4,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/2144954270be834d,,WWWWW
Alatengheili,"5' 5""",135 lbs.,"66.0""",Orthodox,1991-12-14,17,10,2,2.82,32%,5.12,57%,1.74,43%,75%,0.0,http://ufcstats.com/fighter-details/1897b7b913736a7c,,WWWWW
Amir Albazi,"5' 5""",125 lbs.,"68.0""",Orthodox,1993-10-27,17,3,0,2.47,33%,3.88,59%,1.18,25%,62%,0.4,http://ufcstats.com/fighter-details/6d35bf94f7d30241,,WWWWW
Brett Albee,,225 lbs.,,,,3,2,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/9b28292abe3166d5,,WWWWW
John Albert,"5' 8""",135 lbs.,"68.0""",Orthodox,1986-10-13,6,5,0,3.05,49%,2.82,35%,0.0,0%,50%,6.1,http://ufcstats.com/fighter-details/7bd94b60d7521e4a,,WWWWW
Junior Albini,"6' 3""",264 lbs.,"74.0""",Orthodox,1991-03-15,14,6,0,3.98,51%,6.08,52%,1.54,37%,100%,0.0,http://ufcstats.com/fighter-details/c482c8605455a213,,WWWWW
Wes Albritton,"5' 10""",188 lbs.,,Orthodox,,0,1,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/184b955181bdef52,,WWWWW
Aleksandra Albu,"5' 2""",115 lbs.,"63.0""",Orthodox,1990-07-14,3,2,0,4.83,47%,5.56,38%,2.27,50%,77%,0.4,http://ufcstats.com/fighter-details/e76d9f656ceb82ab,,WWWWW
Israel Albuquerque,,185 lbs.,,Orthodox,,0,3,0,0.32,13%,3.34,25%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/dd1b90eea08887f6,,WWWWW
Juan Alcain,,,,,,1,2,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/39f62b833e4cf126,,WWWWW
Iuri Alcantara,"5' 9""",135 lbs.,"71.0""",Southpaw,1980-08-04,35,10,0,2.72,45%,2.79,49%,1.44,62%,60%,0.8,http://ufcstats.com/fighter-details/2f95a3c6d58b2aad,,WWWWW
Ildemar Alcantara,"6' 2""",185 lbs.,"78.0""",Orthodox,1982-11-18,21,11,0,1.93,38%,2.63,50%,2.0,68%,81%,0.9,http://ufcstats.com/fighter-details/7c6e87729e824ef4,,WWWWW
Alfonso Alcarez,"5' 3""",145 lbs.,,,1970-06-10,1,3,1,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/1e38bba6738b7b10,,WWWWW
Gilbert Aldana,"6' 1""",250 lbs.,,Orthodox,1977-08-25,6,2,0,2.91,54%,6.26,26%,2.57,40%,33%,0.0,http://ufcstats.com/fighter-details/d26934530dc5b248,,WWWWW
Irene Aldana,"5' 9""",135 lbs.,"68.0""",Orthodox,1988-03-26,15,8,0,5.19,39%,6.64,56%,0.15,50%,77%,0.2,http://ufcstats.com/fighter-details/578ef12674df1e6a,,WWWWW
Hector Aldana,"5' 11""",170 lbs.,"72.0""",Orthodox,1988-08-17,4,3,0,3.59,38%,5.08,59%,0.93,100%,0%,0.0,http://ufcstats.com/fighter-details/c487223b0289bda9,,WWWWW
Jose Alday,"5' 7""",135 lbs.,"68.0""",Orthodox,1991-09-14,14,6,1,3.13,44%,3.13,58%,0.0,0%,57%,0.0,http://ufcstats.com/fighter-details/7460ddef986d3144,,WWWWW
Jose Aldo,"5' 7""",135 lbs.,"70.0""",Orthodox,1986-09-09,32,10,0,3.65,46%,3.81,60%,0.47,51%,92%,0.1,http://ufcstats.com/fighter-details/d0f3959b4a9747e6,,WWWWW
JJ Aldrich,"5' 5""",125 lbs.,"67.0""",Southpaw,1992-09-29,14,7,0,3.96,47%,4.32,61%,0.75,26%,67%,0.0,http://ufcstats.com/fighter-details/6fd953151d981979,,WWWWW
Irina Alekseeva,"5' 8""",135 lbs.,"67.0""",Orthodox,1990-06-27,5,4,0,3.42,38%,5.02,45%,0.38,20%,50%,0.4,http://ufcstats.com/fighter-details/103e2e33a60683e1,,WWWWW
Talita Alencar,"5' 1""",115 lbs.,"58.0""",Orthodox,1990-10-17,7,1,1,2.91,37%,3.36,55%,3.02,26%,66%,0.6,http://ufcstats.com/fighter-details/d35298b6df168456,,WWWWW
Jim Alers,"5' 9""",145 lbs.,"71.0""",Orthodox,1986-10-14,13,3,0,2.9,40%,4.38,56%,2.26,41%,80%,0.3,http://ufcstats.com/fighter-details/fe5a9547479396ab,,WWWWW
John Alessio,"5' 10""",155 lbs.,"72.0""",Orthodox,1979-07-05,35,17,0,2.1,39%,2.91,54%,1.85,38%,70%,1.2,http://ufcstats.com/fighter-details/7a15f3694c5cbc02,,WWWWW
Houston Alexander,"6' 0""",205 lbs.,"72.0""",Orthodox,1972-03-22,17,15,1,3.06,54%,3.2,52%,1.19,57%,33%,0.0,http://ufcstats.com/fighter-details/0541480fbf719d86,,WWWWW
Kenneth Alexander,"5' 9""",155 lbs.,,Orthodox,1977-09-25,7,6,0,0.88,19%,2.2,66%,4.71,26%,0%,0.0,http://ufcstats.com/fighter-details/8fd76e1b49c00ae2,,WWWWW
Lucas Alexander,"5' 11""",145 lbs.,"73.0""",Orthodox,1995-07-28,8,5,0,4.69,57%,2.87,56%,0.0,0%,60%,0.0,http://ufcstats.com/fighter-details/11583163f45c7b31,,WWWWW
Marcio Alexandre Junior,"6' 0""",185 lbs.,"75.0""",Southpaw,1989-05-05,17,4,0,1.61,45%,2.89,42%,0.35,20%,66%,0.7,http://ufcstats.com/fighter-details/d53482bef23235ba,,WWWWW
Olaf Alfonso,"6' 2""",170 lbs.,,Orthodox,1974-08-06,8,12,0,1.65,38%,4.77,53%,0.37,7%,22%,0.7,http://ufcstats.com/fighter-details/b757c73f443d4fca,,WWWWW
Pablo Alfonso,"5' 8""",145 lbs.,,,1983-05-09,9,7,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/4b37a0bc2ab4cae1,,WWWWW
Levi Alford,,,,,,1,7,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/41b34b7f11f6d085,,WWWWW
Bill Algeo,"6' 0""",145 lbs.,"73.0""",Switch,1989-06-09,18,9,0,5.88,51%,4.38,47%,1.03,50%,55%,0.1,http://ufcstats.com/fighter-details/9abc648e76c4493a,,WWWWW
Royce Alger,"5' 10""",199 lbs.,,Orthodox,1965-03-06,3,2,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/669a3cb6e394f515,,WWWWW
Amir Aliakbari,"6' 3""",250 lbs.,,,1984-06-10,10,1,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/e17770faae3ca54c,,WWWWW
Sultan Aliev,"5' 11""",170 lbs.,"74.0""",Orthodox,1984-09-17,15,3,0,1.41,45%,2.2,56%,1.76,38%,100%,0.0,http://ufcstats.com/fighter-details/e70de1859b7ee78e,,WWWWW
Nurullo Aliev,"5' 10""",155 lbs.,"72.0""",Orthodox,2000-12-08,11,0,0,2.72,44%,1.63,58%,2.12,43%,80%,0.3,http://ufcstats.com/fighter-details/ca28cdf526d6b6e9,,WWWWW
Ikram Aliskerov,"6' 0""",185 lbs.,"76.0""",Southpaw,1992-12-07,17,2,0,6.86,64%,5.47,41%,3.2,60%,100%,0.5,http://ufcstats.com/fighter-details/b07aed698fba8624,,WWWWW
Leon Aliu,"6' 0""",185 lbs.,"74.0""",Orthodox,1989-07-14,10,2,0,6.32,50%,10.11,38%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/6db394bf6c3b017c,,WWWWW
John Allan,"6' 1""",205 lbs.,"75.0""",Orthodox,1993-02-22,13,7,0,3.56,42%,5.74,52%,1.4,71%,50%,0.8,http://ufcstats.com/fighter-details/6ebe96a116e79e52,,WWWWW
George Allen,"6' 2""",205 lbs.,,Open Stance,1967-01-13,13,19,2,0.8,38%,3.1,43%,0.0,0%,50%,0.0,http://ufcstats.com/fighter-details/1e13936d708bcff7,,WWWWW
Arnold Allen,"5' 8""",145 lbs.,"70.0""",Southpaw,1994-01-22,20,4,0,3.47,42%,3.04,60%,0.86,47%,71%,0.3,http://ufcstats.com/fighter-details/040a74bb0a465c54,,WWWWW
Brendan Allen,"6' 2""",185 lbs.,"75.0""",Orthodox,1995-12-28,26,7,0,3.59,53%,3.62,47%,1.56,42%,56%,1.1,http://ufcstats.com/fighter-details/2f181c0467965b98,,WWWWW
Daniel Allen,"6' 0""",155 lbs.,"75.0""",Southpaw,1992-08-10,5,0,0,7.6,51%,5.87,53%,2.0,66%,100%,0.0,http://ufcstats.com/fighter-details/adf9a901308fb8e3,,WWWWW
Ben Alloway,"5' 11""",170 lbs.,"76.0""",Orthodox,1981-02-19,18,8,0,1.28,49%,1.9,59%,0.62,50%,26%,0.0,http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb,,WWWWW
Asu Almabayev,"5' 4""",125 lbs.,"65.0""",Orthodox,1994-01-25,23,3,0,2.31,50%,1.99,53%,4.46,42%,44%,1.5,http://ufcstats.com/fighter-details/8d3273573b85be09,,WWWWW
Bekzat Almakhan,"5' 7""",135 lbs.,"68.0""",Orthodox,1997-10-08,12,3,0,1.61,34%,3.73,36%,0.0,0%,41%,0.0,http://ufcstats.com/fighter-details/a4dc0f2b95df4cc1,,WWWWW
John Dave Almanza,"5' 7""",125 lbs.,"67.0""",Southpaw,2004-03-22,6,1,0,1.92,41%,5.75,27%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/088aa1b19b2dc14a,,WWWWW
Ricardo Almeida,"6' 0""",170 lbs.,"74.0""",Orthodox,1976-11-29,13,5,0,2.02,49%,1.2,61%,3.74,38%,31%,1.2,http://ufcstats.com/fighter-details/91186547a7f3f758,,WWWWW
Magno Almeida,"6' 0""",155 lbs.,,,1985-06-06,10,3,0,1.67,36%,2.6,41%,0.0,0%,40%,5.0,http://ufcstats.com/fighter-details/d615d6a10a4704cd,,WWWWW
Thomas Almeida,"5' 7""",145 lbs.,"70.0""",Southpaw,1991-07-31,22,5,0,4.84,43%,4.93,61%,0.17,14%,75%,0.0,http://ufcstats.com/fighter-details/2b074403b7c6cdb4,,WWWWW
Ericka Almeida,"5' 6""",115 lbs.,,Orthodox,1989-03-05,7,3,0,1.07,39%,3.33,43%,0.5,33%,37%,0.0,http://ufcstats.com/fighter-details/67a992d4cff22466,,WWWWW
